key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
ES-01,6.15,4.62,40.0,16.92,4.62,0.0,4.62,0.0,1.54,10.77,1.54,9.23,65
ES-02,1.38,1.38,9.66,5.52,5.52,2.76,27.59,0.0,2.07,18.62,11.72,13.79,145
FI-01,9.06,5.36,8.75,11.28,14.73,2.84,9.31,9.93,4.87,11.04,3.58,9.25,1622
FI-02,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,4
FI-03,8.33,0.0,25.0,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12
FI-04,5.56,0.0,11.11,5.56,0.0,0.0,27.78,33.33,0.0,5.56,0.0,11.11,18
FR-01,3.68,1.47,23.9,2.57,1.84,1.1,6.25,1.47,1.1,24.26,8.82,23.53,272
FR-02,10.49,4.94,22.22,13.58,12.96,0.62,6.79,8.02,1.23,13.58,0.0,5.56,162
FR-03,4.87,2.77,24.5,4.03,4.7,0.67,3.27,0.67,0.5,30.7,4.28,19.04,1192
GB-01_full,10.53,6.14,8.77,1.75,16.67,1.75,2.63,5.26,16.67,16.67,0.0,13.16,114
GB-02_full,9.2,1.77,18.23,5.84,6.37,0.88,3.72,2.3,3.19,31.68,1.24,15.58,565
GB-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,66.67,3
GB-04_full,0.0,20.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,5
IE-01,1.79,2.26,37.02,0.24,4.4,0.48,1.19,30.71,3.21,5.95,2.74,10.0,840
IE-02,9.33,4.22,17.11,6.44,10.22,1.11,4.44,9.56,8.22,16.44,0.89,12.0,450
IL-01,11.17,3.08,16.88,4.45,7.53,0.91,4.22,3.42,3.08,21.89,9.35,14.03,877
IL-02,19.33,9.24,8.4,14.29,6.72,1.68,0.0,1.68,0.0,33.61,0.0,5.04,119
IN-01,5.37,2.29,12.07,3.88,4.85,1.06,8.11,3.96,3.0,36.92,5.11,13.39,1135
IN-02,11.27,7.04,14.08,11.47,34.61,3.82,2.01,0.2,0.0,7.44,0.8,7.24,497
IN-03,1.16,0.0,13.95,2.33,3.49,0.0,13.95,4.65,5.81,25.58,15.12,13.95,86
IT-01,8.6,3.2,12.0,3.6,4.6,1.4,4.6,2.2,2.8,39.8,1.8,15.4,500
IT-02,6.18,5.12,14.66,3.89,4.42,2.12,4.06,1.59,1.77,37.63,3.18,15.37,566
JP-01,10.23,5.68,20.08,6.63,5.3,1.14,8.52,4.92,2.08,17.8,5.87,11.74,528
JP-02,15.31,3.57,20.41,5.1,5.61,0.0,3.06,0.0,2.04,23.47,3.57,17.86,196
JP-03,0.0,18.52,7.41,0.0,7.41,0.0,11.11,11.11,11.11,18.52,0.0,14.81,27
KR-01,2.15,1.08,26.88,3.23,1.08,2.15,2.15,31.18,10.75,12.9,4.3,2.15,93
KR-02,2.7,1.43,12.08,5.36,0.75,4.54,2.8,31.88,9.04,12.32,0.85,16.25,2930
KR-03,0.96,2.88,29.81,0.96,4.81,0.96,0.96,12.5,16.35,18.27,0.0,11.54,104
KR-04,11.11,5.13,22.22,0.0,0.85,0.0,9.4,5.98,12.82,20.51,0.85,11.11,117
KR-05,0.0,1.89,33.96,0.0,3.77,0.0,1.89,26.42,18.87,1.89,3.77,7.55,53
MX-01,19.12,3.67,15.19,8.68,15.44,1.34,4.76,3.92,1.5,15.69,2.92,7.76,1198
MX-02,12.73,1.82,20.0,23.64,12.73,1.82,0.0,0.0,0.0,21.82,0.0,5.45,55
NL-01,7.74,3.44,13.23,6.24,7.85,0.86,7.2,3.01,2.37,33.44,2.8,11.83,930
NL-02,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
NO-01,6.72,7.86,8.48,6.72,16.13,2.38,10.75,4.96,1.76,20.89,3.31,10.03,967
NO-02,0.0,0.0,28.57,0.0,0.0,0.0,28.57,0.0,0.0,28.57,0.0,14.29,7
SA-01,2.97,1.49,18.32,2.97,5.94,0.99,15.35,2.48,3.96,22.28,2.97,20.3,202
SA-02,3.12,0.0,18.75,0.0,0.0,0.0,18.75,0.0,15.62,28.12,6.25,9.38,32
SE-01,5.56,0.79,11.11,15.87,8.73,1.59,11.9,0.0,0.79,26.19,2.38,15.08,126
SE-02,5.79,0.0,10.42,0.77,0.39,0.77,27.03,3.09,5.02,22.78,3.47,20.46,259
SG-01,9.3,2.11,19.24,3.17,9.09,2.33,4.86,1.9,5.5,21.14,6.34,15.01,473
SG-02,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,7
SG-03,7.69,0.0,0.0,23.08,15.38,0.0,0.0,7.69,23.08,15.38,0.0,7.69,13
US-01,11.24,10.86,4.87,12.73,7.49,5.24,4.49,2.25,1.12,22.47,3.0,14.23,267
US-02,11.34,5.04,13.12,8.15,3.93,1.48,4.67,10.9,8.3,17.57,0.67,14.83,1349
US-03,15.22,6.52,8.7,2.17,0.0,0.0,15.22,8.7,17.39,19.57,0.0,6.52,46
US-04,11.75,7.68,16.72,6.07,10.65,2.58,4.84,9.3,6.0,11.23,1.74,11.43,1549
ZA-01,9.96,7.51,17.8,13.22,12.65,2.86,5.22,1.8,2.2,16.16,2.86,7.76,1225
ZA-02,2.75,1.83,28.44,5.5,4.59,0.92,6.42,3.67,3.67,28.44,4.59,9.17,109
