key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
IN-03,1.15,0.0,10.34,6.9,5.75,1.15,13.79,2.3,5.75,24.14,14.94,13.79,87
IT-01,7.71,2.17,10.08,3.75,8.5,7.51,4.55,2.17,2.77,34.78,1.78,14.23,506
IT-02,5.75,2.96,11.5,4.7,8.54,7.84,3.83,1.57,1.74,33.62,2.79,15.16,574
JP-01,9.56,4.96,16.91,5.51,10.85,4.96,7.9,4.6,1.84,16.91,5.33,10.66,544
JP-02,13.71,3.05,18.27,2.54,10.66,1.52,3.05,0.0,2.03,23.86,3.55,17.77,197
JP-03,0.0,7.14,3.57,0.0,14.29,14.29,10.71,10.71,10.71,14.29,0.0,14.29,28
KR-01,2.08,0.0,23.96,5.21,4.17,6.25,2.08,29.17,10.42,10.42,4.17,2.08,96
KR-02,1.11,0.52,5.6,15.85,1.63,18.23,2.51,28.06,7.42,5.44,0.75,12.89,3072
KR-03,0.96,1.92,25.0,3.85,4.81,2.88,0.96,12.5,16.35,19.23,0.0,11.54,104
KR-04,9.32,5.08,21.19,2.54,0.85,3.39,9.32,5.93,12.71,18.64,0.85,10.17,118
KR-05,0.0,1.89,30.19,3.77,3.77,0.0,1.89,26.42,18.87,1.89,3.77,7.55,53
MX-01,14.17,2.47,9.71,14.49,23.73,2.71,4.54,3.34,1.27,13.93,2.63,7.01,1256
MX-02,12.73,1.82,10.91,32.73,18.18,1.82,0.0,0.0,0.0,16.36,0.0,5.45,55
NL-01,6.75,2.43,10.34,4.96,16.77,2.22,6.65,2.85,2.11,31.43,2.74,10.76,948
NL-02,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
NO-01,5.63,6.21,6.3,4.66,26.38,4.27,10.09,4.17,1.45,18.33,3.2,9.31,1031
NO-02,0.0,0.0,14.29,14.29,0.0,0.0,28.57,0.0,0.0,28.57,0.0,14.29,7
SA-01,2.31,0.46,13.43,3.24,21.76,2.31,12.96,2.31,3.24,18.52,2.78,16.67,216
SA-02,3.12,0.0,15.62,0.0,6.25,0.0,18.75,0.0,15.62,28.12,6.25,6.25,32
SE-01,7.87,0.79,8.66,2.36,14.96,0.79,14.96,0.0,0.79,31.5,2.36,14.96,127
SE-02,3.83,0.77,8.81,6.51,0.0,2.3,26.82,3.07,4.98,21.07,3.07,18.77,261
SG-01,8.09,1.87,15.15,7.26,12.03,2.9,4.77,1.24,5.6,20.12,6.22,14.73,482
SG-02,0.0,0.0,57.14,0.0,0.0,28.57,0.0,0.0,14.29,0.0,0.0,0.0,7
SG-03,15.38,0.0,0.0,0.0,7.69,15.38,0.0,7.69,23.08,23.08,0.0,7.69,13
US-01,9.63,7.41,2.22,8.15,13.7,14.44,4.07,1.85,1.11,20.0,2.96,14.44,270
US-02,10.79,4.17,10.64,8.85,7.07,4.76,4.61,10.49,8.41,15.7,0.67,13.84,1344
US-03,15.22,4.35,8.7,0.0,0.0,4.35,15.22,8.7,17.39,19.57,0.0,6.52,46
US-04,9.86,6.07,12.33,8.34,16.69,6.76,4.68,8.28,5.69,9.29,1.58,10.43,1582
ZA-01,8.41,6.0,14.57,8.89,22.18,5.12,5.36,1.52,2.16,15.53,2.88,7.37,1249
ZA-02,2.65,1.77,20.35,7.08,15.04,1.77,6.19,3.54,3.54,25.66,4.42,7.96,113
